日付,時刻,乾球温度[C],絶対湿度[kg/kg],法線面直達日射[W/m2],全天日射[W/m2],拡散日射[W/m2],雲量,夜間放射[W/m2],太陽高度[radian],地中温度(0.675m)[C],地中温度(1.35m)[C],地中温度(2.35m)[C]
1959/01/04,8:00,-22.8,0.000354969478139368,374.166666666667,136.666666666667,71.9693895623149,0,98.9701845602357,0.173783731692361,-0.381449992695536,5.15274186310324,10.4956818846802,
1959/01/04,9:00,-20,0.000337082988454432,547.222222222222,248.888888888889,81.2481006257687,0,103.74130493402,0.311354874584427,-0.387563613033128,5.1469587336186,10.4923774911331,
1959/01/04,10:00,-16.7,0.000557734567590802,931.666666666667,426.944444444444,52.3492247741688,0,106.139327000619,0.413776520920574,-0.393672040917954,5.14117794936533,10.4890726928797,
1959/01/04,11:00,-16.1,0.000586288627662773,964.166666666667,484.444444444444,47.1455640779455,0,106.7837055339,0.470745842824345,-0.399775273207556,5.13539951331731,10.4857674916203,
1959/01/04,12:00,-15,0.00069206596685857,963.611111111111,488.055555555556,47.4119275550735,0,107.348099800113,0.474938407735769,-0.405873306762137,5.12962342844726,10.4824618890553,
1959/01/04,13:00,-11.7,0.000653192703764037,937.777777777778,429.722222222222,42.4075581839878,0,113.427465016266,0.425760236409186,-0.41196613844458,5.12384969772668,10.4791558868851,
1959/01/04,14:00,-12.8,0.000769940069115458,856.666666666667,320,42.6482831905968,0,110.151156470831,0.329697533934252,-0.418053765120439,5.11807832412581,10.4758494868105,
1959/01/04,15:00,-14.4,0.000769940069115458,681.666666666667,175.277777777778,41.9457202043486,0,107.468247530785,0.196866325248593,-0.424136183657957,5.11230931061377,10.4725426905326,
1959/01/04,16:00,-16.7,0.000586288627662773,115.833333333333,24.4444444444444,10.5943079365461,0,105.790182944413,0.119856284243728,-0.430213390928042,5.10654266015839,10.4692354997524,
1959/01/04,17:00,-20,0.000422154216105849,0,0,0,0,102.5151907807,0,-0.436285383804291,5.10077837572631,10.4659279161714,
1959/01/04,18:00,-20,0.000471450645446722,0,0,0,0,101.85786961138,0,-0.44235215916299,5.09501646028295,10.4626199414912,
1959/01/04,19:00,-19.4,0.000500520086451445,0,0,0,0,102.45191740686,0,-0.448413713883086,5.08925691679253,10.4593115774134,
1959/01/04,20:00,-20,0.000422508400665178,0,0,0,4,77.0914234670867,0,-0.454470044846238,5.08349974821801,10.4560028256402,
1959/01/04,21:00,-19.4,0.000471846220734785,0,0,0,4,77.3258861901737,0,-0.460521148936785,5.07774495752116,10.4526936878736,
1959/01/04,22:00,-18.9,0.000472072561942326,0,0,0,3,84.3628247431015,0,-0.466567023041737,5.07199254766253,10.4493841658161,
1959/01/04,23:00,-18.9,0.00065397654396865,0,0,0,0,101.439590626396,0,-0.472607664050825,5.06624252160141,10.4460742611703,
1959/01/05,0:00,-17.8,0.000623361894654845,0,0,0,0,103.565513289596,0,-0.478643068856446,5.06049488229591,10.4427639756388,
1959/01/05,1:00,-18.3,0.000587062176137775,0,0,0,0,103.174674223216,0,-0.4846732343537,5.05474963270288,10.4394533109247,
1959/01/05,2:00,-16.1,0.000587484972645628,0,0,0,0,106.7837055339,0,-0.49069815744039,5.04900677577794,10.4361422687311,
1959/01/05,3:00,-1.1,0.000623586565874247,0,0,0,0,133.434039614526,0,-0.496717835017007,5.04326631447549,10.4328308507615,
1959/01/05,4:00,-11.7,0.000588473870103447,0,0,0,1,107.199306943168,0,-0.50273226398674,5.03752825174872,10.4295190587192,
1959/01/05,5:00,-9.4,0.000728192063922131,0,0,0,2,102.091724660415,0,-0.508741441255479,5.03179259054953,10.4262068943082,
1959/01/05,6:00,-11.1,0.000818171952519449,0,0,0,7,63.6938024297678,0,-0.514745363731828,5.02605933382864,10.4228943592323,
1959/01/05,7:00,-5.6,0.000908201598025107,57.2222222222222,22.2222222222222,16.7855957872401,7,68.6015147600417,0.095152525884871,-0.520744028327069,5.02032848453551,10.4195814551956,
1959/01/05,8:00,-1.7,0.00100760628027166,617.777777777778,165.555555555556,58.513838488342,7,72.0143867395399,0.17414787712612,-0.526737431955212,5.01460004561834,10.4162681839025,
1959/01/05,9:00,2.2,0.00167200866227403,801.388888888889,300.833333333333,54.7661058524398,7,72.1750656659697,0.312092746552111,-0.532725571532971,5.00887402002412,10.4129545470574,
1959/01/05,10:00,4.4,0.00236574073727525,828.611111111111,381.944444444444,47.8955283188189,7,70.9619855232695,0.414948910862313,-0.538708443979752,5.0031504106986,10.4096405463651,
1959/01/05,11:00,7.2,0.00167462978497971,791.666666666667,411.388888888889,51.1828566061688,7,77.5620191019315,0.472368950102158,-0.544686046217686,4.99742922058628,10.4063261835305,
1959/01/05,12:00,8.9,0.00167665163209716,864.444444444444,436.666666666667,39.8184194315485,6,88.1646511035452,0.476958162868849,-0.550658375171608,4.99171045263039,10.4030114602585,
1959/01/05,13:00,10.6,0.00177116167531745,861.944444444444,396.944444444444,39.1421921064924,5,98.5420069077957,0.428064339125615,-0.556625427769069,4.98599410977296,10.3996963782546,
1959/01/05,14:00,6.1,0.00275125646451399,818.888888888889,307.222222222222,40.1921060649243,3,102.057426613513,0.332162766088616,-0.562587200940333,4.98028019495472,10.396380939224,
1959/01/05,15:00,5.6,0.00275125646451399,644.444444444444,168.888888888889,41.2380036704571,3,101.328447910945,0.199397658299708,-0.568543691618384,4.97456871111521,10.3930651448724,
1959/01/05,16:00,3.3,0.00261265856270829,86.1111111111111,23.8888888888889,13.3754436211574,5,83.8313952783301,0.122396999056324,-0.574494896738917,4.96885966119268,10.3897489969056,
1959/01/05,17:00,-1.1,0.00185233143785391,0,0,0,5,82.7758290109737,0,-0.580440813240346,4.96315304812413,10.3864324970296,
1959/01/05,18:00,-1.1,0.00227153224929968,0,0,0,5,80.3965920926552,0,-0.586381438063814,4.9574488748453,10.3831156469506,
1959/01/05,19:00,-1.1,0.00195352500528352,0,0,0,4,89.5581299876285,0,-0.59231676815318,4.95174714429073,10.3797984483749,
1959/01/05,20:00,-3.3,0.00195352500528352,0,0,0,1,108.139606062999,0,-0.598246800455025,4.94604785939362,10.376480903009,
1959/01/05,21:00,-2.2,0.0020620022082758,0,0,0,2,101.88049916551,0,-0.604171531918666,4.94035102308596,10.3731630125597,
1959/01/05,22:00,-2.8,0.00195588861412731,0,0,0,2,101.742371657609,0,-0.61009095949613,4.9346566382985,10.3698447787337,
1959/01/05,23:00,-2.2,0.00177330478749242,0,0,0,2,104.013463713645,0,-0.616005080142184,4.92896470796067,10.3665262032383,
1959/01/06,0:00,-3.3,0.00177266130947107,0,0,0,3,95.0917688114308,0,-0.621913890814335,4.92327523500068,10.3632072877805,
1959/01/06,1:00,-3.3,0.00152080345362216,0,0,0,2,104.304956987885,0,-0.62781738847279,4.91758822234548,10.3598880340679,
1959/01/06,2:00,0,0.00152080345362216,0,0,0,1,117.251608795852,0,-0.633715570080527,4.91190367292073,10.3565684438079,
1959/01/06,3:00,1.1,0.0015215395829174,0,0,0,1,119.151780354426,0,-0.639608432603232,4.90622158965082,10.3532485187084,
1959/01/06,4:00,-2.8,0.00160724684941219,0,0,0,1,111.782560084857,0,-0.645495973009336,4.9005419754589,10.3499282604773,
1959/01/06,5:00,-2.2,0.00168152404208469,0,0,0,1,112.147576511333,0,-0.65137818827001,4.89486483326682,10.3466076708227,
1959/01/06,6:00,-2.8,0.00160666329125265,0,0,0,1,111.782560084857,0,-0.657255075359164,4.88919016599519,10.3432867514528,
1959/01/06,7:00,-2.8,0.0015195169398459,70.5555555555556,23.8888888888889,17.1638387550481,1,112.517347780606,0.0954605894789319,-0.66312663125345,4.88351797656332,10.3399655040761,
1959/01/06,8:00,2.2,0.00177180406486433,668.055555555556,173.333333333333,57.2706553284912,1,118.787842092483,0.174618117610871,-0.66899285293225,4.87784826788924,10.3366439304012,
1959/01/06,9:00,7.2,0.00137431094738082,788.055555555556,296.666666666667,54.0554275301986,4,105.520827524503,0.312943577434348,-0.674853737377719,4.87218104288973,10.3333220321368,
1959/01/06,10:00,9.4,0.00117533992465404,890.555555555556,411.111111111111,51.0379826876966,3,119.828014860199,0.41623977839145,-0.680709281574719,4.86651630448029,10.329999810992,
1959/01/06,11:00,10.6,0.00206549984107413,921.111111111111,466.111111111111,45.5787625063621,2,122.540013415604,0.474112467818554,-0.686559482510891,4.86085405557512,10.3266772686758,
1959/01/06,12:00,12.8,0.00152338302769635,964.166666666667,492.222222222222,47.7644987269117,1,140.823260202823,0.479094746613153,-0.692404337176617,4.85519429908715,10.3233544068975,
1959/01/06,13:00,11.7,0.00250951982729776,940.555555555556,433.888888888889,41.3916824253422,1,129.382248996781,0.430476179840964,-0.698243842565015,4.84953703792803,10.3200312273665,
1959/01/06,14:00,11.7,0.00206625087811527,837.222222222222,315,39.9659183436422,2,124.451271448234,0.334723323655609,-0.704077995671975,4.84388227500811,10.3167077317924,
1959/01/06,15:00,10,0.00287970367689991,599.444444444444,164.444444444444,44.1718282948285,8,66.290450884839,0.202011302676581,-0.709906793496128,4.83823001323649,10.313383921885,
1959/01/06,16:00,5,0.00333157785318764,89.4444444444444,24.7222222222222,13.5695247499108,9,52.680084554632,0.12501391839147,-0.715730233038858,4.83258025552096,10.3100597993543,
1959/01/06,17:00,4.4,0.00287865598319185,0,0,0,8,61.1997482677521,0,-0.721548311304321,4.82693300476801,10.3067353659103,
1959/01/06,18:00,1.7,0.0028737768086817,0,0,0,9,51.613036138669,0,-0.727361025299416,4.82128826388286,10.3034106232632,
1959/01/06,19:00,2.2,0.00287134341863789,0,0,0,8,59.2822983028383,0,-0.733168372033806,4.81564603576944,10.3000855731235,
1959/01/06,20:00,2.8,0.0024982986920153,0,0,0,7,68.7614438281285,0,-0.738970348519912,4.81000632333037,10.2967602172017,
1959/01/06,21:00,0,0.00274759940103068,0,0,0,5,79.1956616385577,0,-0.744766951772933,4.804369129467,10.2934345572085,
